30/08/2016,16:44:16.082000
1
 	Служебный канал	Напряжение статора	Ток статора	Активная мощность	Реактивная мощность	Активный ток	
190	-663,2	-663,2	0,0	-574,6	0,0	0,0	
191	-666,7	-666,7	0,0	-574,6	0,0	0,0	
192	-673,0	-673,0	0,0	-574,6	0,0	0,0	
193	-673,0	-673,0	0,0	-574,6	0,0	0,0	
194	-666,7	-666,7	0,0	-574,6	0,0	0,0	
195	-675,0	-675,0	0,0	-574,6	0,0	0,0	
196	-673,3	-673,3	0,0	-574,6	0,0	0,0	
197	-670,3	-670,3	0,0	-574,6	0,0	0,0	
198	-666,7	-666,7	0,0	-574,6	0,0	0,0	
199	-666,7	-666,7	0,0	-574,6	0,0	0,0	
200	-666,7	-666,7	0,0	-574,6	0,0	0,0	
201	-666,7	-666,7	0,0	-574,6	0,0	0,0	
202	-666,7	-666,7	0,0	-574,6	0,0	0,0	
203	-669,8	-669,8	0,0	-574,6	0,0	0,0	
204	-669,8	-669,8	0,0	-574,6	0,0	0,0	
205	-666,7	-666,7	0,0	-574,6	0,0	0,0	
206	-669,8	-669,8	0,0	-574,6	0,0	0,0	
207	-670,2	-670,2	0,0	-574,6	0,0	0,0	
208	-669,8	-669,8	0,0	-574,6	0,0	0,0	
209	-666,7	-666,7	0,0	-574,6	0,0	0,0	
210	-669,7	-669,7	0,0	-574,6	0,0	0,0	
211	-666,7	-666,7	0,0	-574,6	0,0	0,0	
212	-666,7	-666,7	0,0	-574,6	0,0	0,0	
213	-666,7	-666,7	0,0	-574,6	0,0	0,0	
214	-666,7	-666,7	0,0	-574,6	0,0	0,0	
215	-666,7	-666,7	0,0	-574,6	0,0	0,0	
216	-666,7	-666,7	0,0	-574,6	0,0	0,0	
217	-666,7	-666,7	0,0	-574,6	0,0	0,0	
218	-666,7	-666,7	0,0	-574,6	0,0	0,0	
219	-670,2	-670,2	0,0	-574,6	0,0	0,0	
220	-666,7	-666,7	0,0	-574,6	0,0	0,0	
221	-670,2	-670,2	0,0	-574,6	0,0	0,0	
222	-666,7	-666,7	0,0	-574,6	0,0	0,0	
223	-666,7	-666,7	0,0	-574,6	0,0	0,0	
224	-670,2	-670,2	0,0	-574,6	0,0	0,0	
225	-670,3	-670,3	0,0	-574,6	0,0	0,0	
226	-673,9	-673,9	0,0	-574,6	0,0	0,0	
227	-673,3	-673,3	0,0	-574,6	0,0	0,0	
228	-666,7	-666,7	0,0	-574,6	0,0	0,0	
229	-673,8	-673,8	0,0	-574,6	0,0	0,0	
230	-666,7	-666,7	0,0	-574,6	0,0	0,0	
231	-666,7	-666,7	0,0	-574,6	0,0	0,0	
232	-666,7	-666,7	0,0	-574,6	0,0	0,0	
233	-666,7	-666,7	0,0	-574,6	0,0	0,0	
234	-666,7	-666,7	0,0	-574,6	0,0	0,0	
235	-670,2	-670,2	0,0	-574,6	0,0	0,0	
236	-666,7	-666,7	0,0	-574,6	0,0	0,0	
237	-663,5	-663,5	0,0	-574,6	0,0	0,0	
238	-669,8	-669,8	0,0	-574,6	0,0	0,0	
239	-670,2	-670,2	0,0	-574,6	0,0	0,0	
240	-666,7	-666,7	0,0	-574,6	0,0	0,0	
241	-666,7	-666,7	0,0	-574,6	0,0	0,0	
242	-666,7	-666,7	0,0	-574,6	0,0	0,0	
243	-670,2	-670,2	0,0	-574,6	0,0	0,0	
244	-666,7	-666,7	0,0	-574,6	0,0	0,0	
245	-669,8	-669,8	0,0	-574,6	0,0	0,0	
